Date,Close/Last,Volume,Open,High,Low
04/10/2026,145.04,3870336,145.42,145.69,144.805
04/09/2026,145.07,1766355,144.17,145.385,143.67
04/08/2026,144.62,3983642,145.08,145.425,143.73
04/07/2026,140.20,3498435,139.64,140.28,138.35
04/06/2026,140.15,2980562,139.72,140.40,139.52
04/02/2026,139.44,3515843,137.305,139.97,137.065
04/01/2026,139.67,7240332,139.54,140.49,139.24
03/31/2026,138.37,9946282,135.725,138.52,135.45
03/30/2026,134.19,4458558,135.76,135.87,133.65
03/27/2026,134.55,3699422,135.99,136.12,134.26
03/26/2026,136.38,6633230,137.89,138.67,136.31
03/25/2026,139.34,4464716,139.47,140.03,138.68
03/24/2026,138.04,6268563,137.47,138.86,137.18
03/23/2026,138.81,7483114,138.72,140.275,138.10
03/20/2026,136.54,4892847,138.80,139.03,135.845
03/19/2026,139.38,5815998,138.155,140.04,137.915
03/18/2026,139.71,3895518,141.25,141.56,139.68
03/17/2026,141.88,3908013,142.56,142.69,141.76
03/16/2026,141.48,3359394,141.06,142.065,140.89
03/13/2026,139.54,5931957,141.13,141.84,139.30
03/12/2026,140.45,14277250,141.79,141.79,140.41
03/11/2026,142.94,5533878,142.86,143.65,142.19
03/10/2026,143.05,8145898,143.40,144.81,142.63
03/09/2026,143.05,9087329,140.33,143.49,139.25
03/06/2026,141.68,9653441,141.24,142.44,140.64
03/05/2026,143.32,13123470,143.645,144.525,142.07
03/04/2026,145.00,7874986,144.065,145.35,143.68
03/03/2026,143.68,17312150,142.29,144.28,140.99
03/02/2026,146.55,8736713,145.14,147.06,144.96
02/27/2026,147.38,7754027,147.01,147.62,146.69
02/26/2026,147.95,5766526,148.48,148.60,146.885
02/25/2026,148.65,4710382,148.17,148.75,147.965
02/24/2026,147.33,4873429,146.29,147.54,145.92
02/23/2026,146.26,7129041,147.08,147.73,145.84
02/20/2026,147.63,9126706,146.00,147.67,145.87
02/19/2026,146.34,4351093,145.80,146.40,145.64
02/18/2026,146.63,4214094,146.34,147.29,146.05
02/17/2026,146.00,6739491,145.28,146.36,144.385
02/13/2026,145.94,11700290,145.61,146.61,144.77
02/12/2026,145.65,10575860,148.30,148.37,145.53
02/11/2026,147.71,7414942,148.25,148.41,146.88
02/10/2026,147.31,6799625,147.82,148.01,147.24
02/09/2026,147.41,3577703,146.28,147.68,146.04
02/06/2026,146.28,4312246,144.46,146.47,144.42
02/05/2026,143.21,4062635,143.805,144.54,142.92
02/04/2026,144.99,6793485,146.15,146.25,144.17
02/03/2026,145.54,4627983,146.48,146.64,144.36
02/02/2026,146.31,4847447,145.13,146.57,145.05
01/30/2026,145.50,6876179,146.11,146.425,144.72
01/29/2026,146.70,4339040,147.39,147.43,144.85
01/28/2026,146.84,4428890,147.25,147.31,146.39
01/27/2026,147.06,3690909,146.45,147.16,146.44
01/26/2026,145.72,3018852,145.32,146.13,145.32
01/23/2026,145.16,3350458,144.63,145.25,144.38
01/22/2026,144.81,2681453,144.95,145.17,144.38
01/21/2026,144.01,5535107,142.875,144.63,142.565
01/20/2026,142.36,4322402,142.84,143.66,142.21
01/16/2026,145.00,2625126,145.26,145.30,144.52
01/15/2026,145.00,3457899,145.47,145.63,144.88
01/14/2026,144.71,3001795,144.72,144.785,143.95
01/13/2026,144.89,4752350,145.305,145.40,144.53
01/12/2026,145.38,2887035,144.63,145.48,144.43
01/09/2026,144.75,2359063,144.09,144.965,143.87
01/08/2026,143.77,7426137,143.61,143.905,143.31
01/07/2026,143.81,2909523,144.23,144.49,143.73
01/06/2026,144.35,3321303,143.83,144.47,143.805
01/05/2026,143.68,7924064,143.085,144.70,142.99
01/02/2026,142.49,5218796,142.77,142.95,141.49
12/31/2025,141.49,4232758,142.55,142.90,141.48
12/30/2025,142.41,2691396,142.485,142.745,142.33
12/29/2025,142.41,2902510,142.25,142.67,142.05
12/26/2025,142.90,2068559,142.80,143.04,142.68
12/24/2025,142.71,1780845,142.50,142.86,142.36
12/23/2025,142.46,2152306,141.77,142.49,141.67
12/22/2025,141.74,3352818,141.26,141.85,141.26
12/19/2025,140.91,2607100,140.33,141.14,140.20
12/18/2025,139.71,4226880,139.95,140.53,139.44
12/17/2025,138.56,3601397,140.07,140.24,138.51
12/16/2025,139.99,2664057,140.02,140.50,139.33
12/15/2025,141.80,2818853,142.59,142.75,141.54
12/12/2025,141.77,9587306,143.14,143.235,141.265
12/11/2025,143.18,3394992,142.42,143.2342,141.96
12/10/2025,142.80,3293563,141.60,143.065,141.455
12/09/2025,141.65,2184282,141.73,142.07,141.54
12/08/2025,141.76,1880302,142.32,142.32,141.39
12/05/2025,142.10,9197198,142.32,142.775,141.96
12/04/2025,141.97,3013609,142.02,142.078,141.40
12/03/2025,141.68,3339562,141.09,141.81,140.85
12/02/2025,141.15,3396106,141.26,141.435,140.645
12/01/2025,140.84,3559804,140.55,141.38,140.55
11/28/2025,141.47,2465765,140.92,141.53,140.85
11/26/2025,140.77,2507994,140.15,141.10,140.10
11/25/2025,139.62,4440973,138.60,139.765,137.725
11/24/2025,138.36,3684579,137.44,138.61,137.14
11/21/2025,136.84,7666258,135.995,137.785,135.23
11/20/2025,135.50,6041291,139.49,139.76,135.44
11/19/2025,137.58,3049046,137.39,138.77,136.85
11/18/2025,137.39,5636452,137.60,138.57,136.50
11/17/2025,138.58,4779870,139.38,140.12,137.73
11/14/2025,140.08,4763787,138.825,140.75,138.48
11/13/2025,140.15,3793373,141.72,141.92,139.88
11/12/2025,142.33,3119178,142.37,142.48,141.95
11/11/2025,142.05,1579165,141.37,142.18,141.34
11/10/2025,141.58,2521441,140.67,141.725,140.40
11/07/2025,139.54,5357719,138.90,139.565,137.63
11/06/2025,139.34,4712974,140.385,140.59,139.00
11/05/2025,140.56,2888073,139.82,141.065,139.79
11/04/2025,139.91,3651973,140.06,140.85,139.76
11/03/2025,141.72,3650463,142.12,142.12,141.02
10/31/2025,141.41,3685945,141.61,141.89,140.82
10/30/2025,141.17,4218581,141.52,142.105,141.165
10/29/2025,142.56,4621063,143.00,143.045,141.63
10/28/2025,142.55,2245002,142.37,142.90,142.195
10/27/2025,142.34,2008567,141.83,142.415,141.83
10/24/2025,140.86,3129528,140.68,141.63,140.64
