Date,Close/Last,Volume,Open,High,Low
04/10/2026,28.50,496802,28.63,28.78,28.47
04/09/2026,28.71,948337,28.80,28.95,28.45
04/08/2026,28.56,3558292,28.03,28.64,28.00
04/07/2026,29.37,2210051,29.61,29.76,29.11
04/06/2026,29.48,1310961,29.39,29.61,29.27
04/02/2026,29.33,1765340,29.47,29.48,29.025
04/01/2026,28.68,7867014,28.72,28.80,28.51
03/31/2026,28.95,6393700,29.28,29.375,28.83
03/30/2026,29.26,1067805,29.39,29.44,29.14
03/27/2026,29.10,595395,28.85,29.22,28.795
03/26/2026,28.44,569864,28.44,28.66,28.40
03/25/2026,28.17,910097,27.78,28.24,27.78
03/24/2026,28.24,1491971,28.18,28.40,28.055
03/23/2026,27.75,2131397,28.11,28.128,27.41
03/20/2026,28.94,1960061,28.92,29.14,28.735
03/19/2026,28.84,1052102,29.05,29.2535,28.54
03/18/2026,29.27,873353,28.97,29.2999,28.885
03/17/2026,28.76,449843,28.69,28.7682,28.54
03/16/2026,28.31,1232029,28.62,28.70,28.20
03/13/2026,28.71,1135613,28.52,28.79,28.22
03/12/2026,28.86,1770053,28.72,28.93,28.49
03/11/2026,28.13,1227159,27.67,28.1499,27.35
03/10/2026,27.60,2497803,27.57,27.64,26.60
03/09/2026,27.14,5116148,28.38,28.605,26.69
03/06/2026,27.51,4462906,27.31,27.655,27.25
03/05/2026,26.52,1301661,26.35,26.735,26.32
03/04/2026,26.14,540074,26.04,26.19,25.92
03/03/2026,25.91,1299213,26.37,26.3899,25.58
03/02/2026,25.81,1707327,25.89,25.95,25.51
02/27/2026,25.10,467929,25.10,25.11,24.94
02/26/2026,24.76,386353,24.59,24.87,24.5087
02/25/2026,24.75,785531,24.76,24.93,24.6799
02/24/2026,24.72,778593,24.69,24.75,24.62
02/23/2026,24.75,747296,24.74,24.8499,24.635
02/20/2026,24.60,350529,24.45,24.64,24.41
02/19/2026,24.43,278783,24.29,24.43,24.21
02/18/2026,24.21,408503,23.97,24.235,23.9661
02/17/2026,23.59,387599,23.66,23.69,23.52
02/13/2026,23.88,250740,23.85,23.95,23.74
02/12/2026,23.80,1756512,24.28,24.30,23.77
02/11/2026,24.37,1026015,24.43,24.43,24.25
02/10/2026,24.14,383488,24.23,24.23,24.03
02/09/2026,24.25,630402,23.98,24.29,23.97
02/06/2026,24.01,913122,23.84,24.145,23.83
02/05/2026,23.76,916089,23.86,24.005,23.64
02/04/2026,24.19,1310352,24.18,24.265,23.93
02/03/2026,24.15,1165230,23.97,24.165,23.87
02/02/2026,23.54,3064343,23.66,23.76,23.39
01/30/2026,24.43,2266805,24.79,24.8644,23.945
01/29/2026,25.30,1001618,25.67,25.687,24.77
01/28/2026,24.94,557417,24.77,24.965,24.705
01/27/2026,24.62,928571,24.30,24.625,24.23
01/26/2026,24.29,749098,24.35,24.4975,24.185
01/23/2026,24.18,890598,24.05,24.20,24.05
01/22/2026,23.74,409448,23.72,23.7576,23.6524
01/21/2026,23.75,693409,23.78,23.785,23.645
01/20/2026,23.48,428189,23.51,23.59,23.4493
01/16/2026,23.16,506880,23.20,23.235,23.09
01/15/2026,23.20,490532,23.18,23.31,23.12
01/14/2026,23.39,1316504,23.57,23.65,23.26
01/13/2026,23.37,826236,23.35,23.465,23.2985
01/12/2026,23.19,320991,23.06,23.245,23.055
01/09/2026,22.90,220537,22.97,23.06,22.89
01/08/2026,22.88,776577,22.61,22.90,22.5981
01/07/2026,22.59,660034,22.71,22.71,22.51
01/06/2026,22.80,581850,22.94,22.9756,22.7771
01/05/2026,22.81,860101,22.63,22.82,22.63
01/02/2026,22.39,825363,22.39,22.42,22.2945
12/31/2025,22.36,931406,22.52,22.56,22.345
12/30/2025,22.64,597569,22.72,22.725,22.615
12/29/2025,22.49,539425,22.59,22.61,22.47
12/26/2025,22.70,686632,22.71,22.76,22.625
12/24/2025,22.63,362828,22.67,22.67,22.56
12/23/2025,22.64,642474,22.48,22.645,22.415
12/22/2025,22.39,511634,22.38,22.405,22.335
12/19/2025,22.85,282655,22.77,22.8801,22.72
12/18/2025,22.69,211506,22.79,22.84,22.67
12/17/2025,22.85,504025,22.74,22.86,22.705
12/16/2025,22.58,392547,22.65,22.68,22.56
12/15/2025,22.81,252667,22.88,22.90,22.73
12/12/2025,22.92,425856,23.12,23.12,22.86
12/11/2025,23.11,534913,22.95,23.115,22.95
12/10/2025,23.13,387553,22.98,23.16,22.93
12/09/2025,22.99,294690,23.03,23.04,22.95
12/08/2025,23.04,784767,23.17,23.19,23.04
12/05/2025,23.33,502740,23.30,23.44,23.30
12/04/2025,23.19,195747,23.12,23.22,23.0535
12/03/2025,23.13,140776,23.15,23.195,23.0712
12/02/2025,23.02,525035,23.07,23.12,22.98
12/01/2025,23.12,679904,23.11,23.155,23.0715
11/28/2025,23.06,236096,22.94,23.09,22.922
11/26/2025,22.76,983463,22.57,22.785,22.57
11/25/2025,22.52,224622,22.47,22.56,22.365
11/24/2025,22.64,516255,22.45,22.66,22.40
11/21/2025,22.53,528717,22.51,22.60,22.405
11/20/2025,22.68,287051,22.99,22.99,22.665
11/19/2025,22.90,964995,22.94,22.97,22.80
11/18/2025,23.13,352369,22.97,23.15,22.89
11/17/2025,22.94,353363,22.95,23.0482,22.9201
11/14/2025,22.97,787877,22.95,23.10,22.88
11/13/2025,22.92,291185,23.09,23.14,22.915
11/12/2025,23.04,808974,23.11,23.127,23.0019
11/11/2025,23.30,268477,23.20,23.32,23.20
11/10/2025,23.15,254404,23.03,23.1571,22.95
11/07/2025,22.90,306041,22.93,22.935,22.81
11/06/2025,22.85,555979,22.84,22.88,22.7318
11/05/2025,22.82,375635,22.88,22.9909,22.80
11/04/2025,22.89,480290,22.83,22.965,22.77
11/03/2025,23.05,786244,22.96,23.07,22.84
10/31/2025,22.88,610963,22.83,22.90,22.76
10/30/2025,22.72,183028,22.63,22.79,22.5514
10/29/2025,22.71,191010,22.72,22.8493,22.685
10/28/2025,22.59,181299,22.63,22.70,22.575
10/27/2025,22.80,294997,22.85,22.885,22.78
10/24/2025,22.85,269009,22.86,22.96,22.835
10/23/2025,22.84,472366,22.79,22.96,22.79
10/22/2025,22.46,397210,22.27,22.515,22.235
10/21/2025,22.11,534234,22.17,22.21,21.98
10/20/2025,22.34,185162,22.16,22.34,22.16
10/17/2025,22.12,1650633,22.13,22.1565,22.04
10/16/2025,22.14,279238,22.22,22.32,22.085
10/15/2025,22.18,164516,22.21,22.23,22.1001
10/14/2025,22.10,205307,22.06,22.1951,22.02
10/13/2025,22.35,282742,22.30,22.38,22.23
10/10/2025,22.07,464290,22.36,22.412,22.04
10/09/2025,22.55,168419,22.85,22.85,22.515
10/08/2025,22.76,292551,22.76,22.84,22.73
10/07/2025,22.73,241765,22.62,22.73,22.5735
10/06/2025,22.64,179613,22.55,22.66,22.55
10/03/2025,22.41,356980,22.41,22.49,22.385
10/02/2025,22.34,303270,22.45,22.515,22.275
10/01/2025,22.49,565696,22.34,22.515,22.30
09/30/2025,22.53,377478,22.50,22.58,22.47
09/29/2025,22.62,192203,22.67,22.695,22.59
09/26/2025,22.81,407553,22.78,22.965,22.76
09/25/2025,22.80,1415145,22.65,22.80,22.58
09/24/2025,22.64,309298,22.56,22.655,22.52
09/23/2025,22.49,318513,22.34,22.495,22.34
09/22/2025,22.26,325682,22.17,22.27,22.1585
09/19/2025,22.26,205197,22.35,22.41,22.25
09/18/2025,22.44,190662,22.55,22.58,22.3912
09/17/2025,22.54,448115,22.71,22.74,22.5006
09/16/2025,22.78,195779,22.69,22.79,22.6668
09/15/2025,22.55,267021,22.50,22.57,22.48
09/12/2025,22.35,300711,22.39,22.46,22.325
09/11/2025,22.22,251090,22.18,22.2755,22.15
09/10/2025,22.39,282107,22.28,22.4176,22.27
09/09/2025,22.24,252999,22.32,22.38,22.23
09/08/2025,22.18,316634,22.20,22.21,22.08
09/05/2025,22.03,419071,22.14,22.14,21.97
09/04/2025,22.21,414410,22.20,22.25,22.135
09/03/2025,22.37,820084,22.50,22.52,22.34
09/02/2025,22.57,630083,22.41,22.59,22.3434
08/29/2025,22.21,447521,22.23,22.23,22.15
08/28/2025,22.18,146967,22.06,22.2499,21.99
08/27/2025,22.04,565613,22.00,22.095,21.98
08/26/2025,22.02,236283,22.05,22.12,21.985
08/25/2025,22.19,162394,22.13,22.26,22.11
08/22/2025,22.08,252190,21.97,22.115,21.97
08/21/2025,21.99,545995,21.86,22.02,21.8286
08/20/2025,21.86,444106,21.77,21.87,21.75
08/19/2025,21.62,379662,21.70,21.7083,21.59
08/18/2025,21.79,658691,21.65,21.855,21.61
08/15/2025,21.77,192706,21.71,21.825,21.7064
08/14/2025,21.84,394348,21.79,21.85,21.725
08/13/2025,21.75,527123,21.81,21.82,21.62
08/12/2025,21.78,201064,21.82,21.83,21.76
08/11/2025,21.87,220765,21.84,21.9083,21.7906
08/08/2025,21.84,536670,21.91,22.00,21.76
08/07/2025,21.84,332836,21.89,21.9578,21.825
08/06/2025,21.77,530074,22.04,22.12,21.72
08/05/2025,21.82,225270,21.94,21.955,21.82
08/04/2025,22.01,558276,21.94,22.12,21.91
08/01/2025,22.09,505937,22.45,22.45,22.0604
07/31/2025,22.45,656768,22.45,22.52,22.36
07/30/2025,22.64,1038818,22.59,22.75,22.44
07/29/2025,22.69,480336,22.39,22.7299,22.3765
07/28/2025,22.40,373271,22.36,22.40,22.27
07/25/2025,22.17,381874,22.34,22.36,22.17
07/24/2025,22.40,347283,22.38,22.43,22.255
07/23/2025,22.38,438213,22.37,22.41,22.31
07/22/2025,22.44,334018,22.38,22.47,22.345
07/21/2025,22.48,500568,22.47,22.55,22.41
07/18/2025,22.53,762506,22.72,22.81,22.515
07/17/2025,22.49,203334,22.28,22.49,22.28
07/16/2025,22.31,314024,22.19,22.34,22.115
07/15/2025,22.28,494650,22.30,22.4093,22.26
07/14/2025,22.32,562511,22.52,22.52,22.305
07/11/2025,22.51,329777,22.32,22.51,22.32
07/10/2025,22.22,347465,22.17,22.235,22.14
07/09/2025,22.29,577278,22.24,22.345,22.20
07/08/2025,22.33,557173,22.26,22.4299,22.23
07/07/2025,22.26,413350,22.14,22.305,22.11
07/03/2025,22.28,202006,22.33,22.37,22.226
07/02/2025,22.29,325888,22.03,22.33,21.97
07/01/2025,21.93,585932,21.84,21.94,21.775
06/30/2025,21.81,1183988,21.81,21.8749,21.76
06/27/2025,21.80,873200,21.87,21.91,21.73
06/26/2025,21.91,1288301,21.86,22.02,21.835
06/25/2025,21.83,1542119,21.79,21.945,21.755
06/24/2025,21.86,1731995,21.90,21.975,21.77
06/23/2025,22.40,3334212,23.25,23.28,22.40
