Date,Close/Last,Volume,Open,High,Low
04/10/2026,34.89,47199,35.06,35.06,34.8599
04/09/2026,34.85,54208,34.79,34.92,34.749
04/08/2026,34.85,50710,34.79,34.92,34.735
04/07/2026,34.44,59055,34.48,34.48,34.27
04/06/2026,34.3932,35164,34.23,34.42,34.23
04/02/2026,34.35,38238,34.17,34.35,33.98
04/01/2026,34.25,48888,34.34,34.34,34.1976
03/31/2026,34.12,48870,33.94,34.12,33.78
03/30/2026,33.70,89415,33.73,33.83,33.60
03/27/2026,33.71,69902,34.00,34.00,33.69
03/26/2026,33.82,41861,34.02,34.09,33.82
03/25/2026,34.15,37757,34.14,34.21,34.095
03/24/2026,34.00,43775,33.92,34.09,33.9002
03/23/2026,34.06,19959,34.03,34.16,33.98
03/20/2026,33.85,37117,34.115,34.115,33.77
03/19/2026,34.22,36657,34.19,34.249,34.00
03/18/2026,34.24,81489,34.29,34.435,34.24
03/17/2026,34.45,57487,34.50,34.51,34.395
03/16/2026,34.33,22998,34.37,34.38,34.275
03/13/2026,34.14,28818,34.39,34.39,34.11
03/12/2026,34.20,44365,34.49,34.49,34.179
03/11/2026,34.47,33756,34.47,34.52,34.362
03/10/2026,34.447,51302,34.34,34.6158,34.34
03/09/2026,34.3862,71132,34.23,34.41,34.0156
03/06/2026,34.25,49336,34.10,34.309,34.10
03/05/2026,34.42,69291,34.70,34.70,34.27
03/04/2026,34.61,38998,34.62,34.63,34.4842
03/03/2026,34.45,337911,34.50,34.50,34.12
03/02/2026,34.80,147741,34.70,34.8887,34.685
02/27/2026,34.90,75711,34.96,34.96,34.82
02/26/2026,34.98,37737,35.00,35.00,34.83
02/25/2026,35.00,54497,34.98,35.02,34.93
02/24/2026,34.86,159761,34.86,34.88,34.75
02/23/2026,34.69,42069,34.83,34.85,34.6731
02/20/2026,34.86,47311,34.58,34.90,34.58
02/19/2026,34.74,86471,34.58,34.74,34.58
02/18/2026,34.75,80245,34.56,34.8607,34.43
02/17/2026,34.59,78760,34.46,34.66,34.45
02/13/2026,34.62,99713,34.48,34.70,34.40
02/12/2026,34.54,41314,34.86,34.86,34.5082
02/11/2026,34.767,141083,34.72,34.8291,34.64
02/10/2026,34.71,61497,34.74,34.80,34.62
02/09/2026,34.67,36024,34.54,34.72,34.50
02/06/2026,34.525,69484,34.16,34.525,34.16
02/05/2026,34.12,68693,34.08,34.2693,34.08
02/04/2026,34.33,182513,34.36,34.51,34.21
02/03/2026,34.45,108850,34.48,34.56,34.26
02/02/2026,34.39,88970,34.41,34.43,34.29
01/30/2026,34.291,50185,34.5125,34.5125,34.18
01/29/2026,34.623,200701,34.70,34.71,34.42
01/28/2026,34.63,40926,34.53,34.63,34.53
01/27/2026,34.56,34126,34.33,34.57,34.33
01/26/2026,34.3904,59224,34.40,34.46,34.3882
01/23/2026,34.39,64802,34.39,34.44,34.31
01/22/2026,34.39,55272,34.27,34.42,34.27
01/21/2026,34.27,56496,34.20,34.33,34.14
01/20/2026,34.08,51170,34.12,34.1901,34.06
01/16/2026,34.32,52846,34.18,34.33,34.18
01/15/2026,34.317,97725,34.15,34.39,34.15
01/14/2026,34.23,76263,34.06,34.23,34.06
01/13/2026,34.20,47262,34.25,34.25,34.16
01/12/2026,34.215,66352,34.13,34.2186,34.13
01/09/2026,34.14,49401,34.16,34.16,34.04
01/08/2026,33.985,87129,33.90,34.00,33.90
01/07/2026,33.9679,122758,34.18,34.18,33.95
01/06/2026,34.14,211565,33.63,34.14,33.63
01/05/2026,33.913,245044,33.89,33.95,33.87
01/02/2026,33.74,106626,33.67,33.75,33.64
12/31/2025,33.51,79491,33.64,33.64,33.51
12/30/2025,33.613,65495,33.65,33.6711,33.605
12/29/2025,34.11,126163,34.14,34.14,34.08
12/26/2025,34.183,39268,34.17,34.20,34.16
12/24/2025,34.17,29210,33.99,34.18,33.99
12/23/2025,34.12,80454,34.00,34.14,34.00
12/22/2025,34.08,1963194,34.08,34.1215,34.08
12/19/2025,34.04,41453,34.03,34.05,33.97
12/18/2025,33.88,68990,33.87,33.9479,33.85
12/17/2025,33.75,56874,33.88,33.892,33.7299
12/16/2025,33.857,44715,33.77,33.8972,33.77
12/15/2025,33.88,85953,34.07,34.07,33.88
12/12/2025,33.941,37277,34.09,34.14,33.92
12/11/2025,34.12,118096,34.11,34.15,34.03
12/10/2025,34.05,60820,33.72,34.12,33.72
12/09/2025,33.92,40646,33.73,33.965,33.73
12/08/2025,33.88,53204,33.80,33.935,33.80
12/05/2025,33.89,229689,33.91,33.98,33.89
12/04/2025,33.85,21652,33.81,33.8897,33.81
12/03/2025,33.84,51665,33.77,33.84,33.71
12/02/2025,33.765,42141,33.74,33.79,33.72
12/01/2025,33.72,29897,33.51,33.785,33.51
11/28/2025,33.83,29604,33.74,33.83,33.7395
11/26/2025,33.72,77536,33.40,33.76,33.40
11/25/2025,33.56,103188,33.26,33.56,33.26
11/24/2025,33.43,351837,33.36,33.43,33.26
11/21/2025,33.2341,25131,33.01,33.292,33.01
11/20/2025,33.11,47739,33.41,33.555,33.11
11/19/2025,33.38,93242,33.38,33.47,33.31
11/18/2025,33.3746,92605,33.20,33.44,33.00
11/17/2025,33.41,67125,33.55,33.59,33.37
11/14/2025,33.55,44443,33.54,33.65,33.49
11/13/2025,33.58,40185,33.86,33.86,33.56
11/12/2025,33.875,21598,34.02,34.02,33.86
11/11/2025,33.92,117227,33.77,33.92,33.77
11/10/2025,33.91,37805,33.78,33.9172,33.78
11/07/2025,33.68,28006,33.5794,33.6836,33.47
11/06/2025,33.64,244587,33.83,33.83,33.60
11/05/2025,33.83,390746,33.72,33.85,33.69
11/04/2025,33.663,25687,33.66,33.80,33.66
11/03/2025,33.88,30767,33.80,33.92,33.80
10/31/2025,33.863,134606,33.87,33.955,33.80
10/30/2025,33.872,172334,33.96,33.96,33.8401
10/29/2025,33.95,26891,33.90,34.0791,33.90
10/28/2025,33.96,29880,33.975,34.0297,33.96
10/27/2025,34.0294,25190,33.90,34.045,33.90
10/24/2025,33.97,32317,33.91,33.9798,33.91
10/23/2025,33.84,31528,33.76,33.8995,33.76
10/22/2025,33.755,27725,33.98,33.98,33.66
10/21/2025,33.84,27665,33.94,33.94,33.81
10/20/2025,33.90,18267,33.73,33.92,33.73
10/17/2025,33.7413,122600,33.71,33.755,33.6616
10/16/2025,33.7579,54930,33.80,33.90,33.7062
10/15/2025,33.806,32522,33.74,33.86,33.72
10/14/2025,33.6998,24228,33.71,33.7668,33.46
10/13/2025,33.6755,25200,33.66,33.685,33.54
