Date,Close/Last,Volume,Open,High,Low
04/10/2026,86.49,13247730,86.60,86.68,86.33
04/09/2026,86.70,18909080,86.69,87.1301,86.3924
04/08/2026,86.92,22244920,87.36,87.37,86.73
04/07/2026,86.64,22747230,86.52,86.675,85.91
04/06/2026,86.65,14660330,86.50,86.85,86.385
04/02/2026,86.79,33310580,86.205,86.85,86.1507
04/01/2026,86.26,31157620,86.28,86.705,86.23
03/31/2026,86.69,47112150,86.93,87.16,86.57
03/30/2026,86.78,36473150,86.63,86.95,86.485
03/27/2026,85.64,39928850,85.50,86.10,85.45
03/26/2026,86.11,39536970,86.34,86.61,85.93
03/25/2026,86.84,37861010,86.75,86.88,86.48
03/24/2026,86.01,51799400,85.72,86.29,85.56
03/23/2026,86.385,69686650,86.18,86.72,85.935
03/20/2026,85.83,78948520,86.81,86.86,85.76
03/19/2026,87.49,60307440,87.06,87.725,86.97
03/18/2026,86.955,37596580,87.36,87.48,86.93
03/17/2026,87.45,19578070,87.36,87.57,87.315
03/16/2026,87.21,37341480,87.175,87.34,86.96
03/13/2026,86.54,43459980,86.925,87.145,86.47
03/12/2026,86.97,48976970,86.905,87.245,86.775
03/11/2026,87.14,54679850,87.75,87.81,87.075
03/10/2026,88.28,48651550,88.80,88.95,88.27
03/09/2026,89.23,52478730,88.295,89.315,88.205
03/06/2026,88.46,58136910,88.32,88.9399,88.015
03/05/2026,88.79,45768930,88.63,88.935,88.51
03/04/2026,89.15,47069510,89.27,89.44,89.095
03/03/2026,89.43,51850410,88.975,89.67,88.935
03/02/2026,89.61,55465540,89.975,89.99,89.355
02/27/2026,90.82,51271970,90.685,90.86,90.55
02/26/2026,90.27,29447080,90.06,90.32,90.05
02/25/2026,89.91,23625780,89.71,90.08,89.71
02/24/2026,89.90,24933940,89.945,90.05,89.76
02/23/2026,89.74,33614600,89.55,90.00,89.53
02/20/2026,89.41,49610820,89.70,89.74,88.93
02/19/2026,89.62,28658630,89.40,89.72,89.365
02/18/2026,89.53,35415360,89.685,89.86,89.47
02/17/2026,89.87,32356750,89.93,90.12,89.76
02/13/2026,89.72,56785150,89.63,89.81,89.5224
02/12/2026,89.23,48454860,88.355,89.28,88.35
02/11/2026,88.06,37014010,88.04,88.475,87.935
02/10/2026,88.53,37253720,88.24,88.53,88.22
02/09/2026,87.52,24708880,87.20,87.58,87.03
02/06/2026,87.54,33461760,87.45,87.54,87.20
02/05/2026,87.48,50268910,86.93,87.48,86.75
02/04/2026,86.54,37872880,86.63,86.7775,86.46
02/03/2026,86.76,27438200,86.485,86.78,86.4284
02/02/2026,86.55,38171400,87.02,87.055,86.55
01/30/2026,87.13,45832190,87.375,87.56,87.13
01/29/2026,87.62,43854980,87.15,87.74,87.08
01/28/2026,87.60,38750300,87.505,87.70,87.29
01/27/2026,87.80,35180130,88.11,88.25,87.68
01/26/2026,88.35,38882360,88.395,88.49,88.20
01/23/2026,87.93,35968800,87.83,88.0284,87.495
01/22/2026,87.69,42419290,87.27,87.755,87.14
01/21/2026,87.31,51220130,86.80,87.48,86.62
01/20/2026,86.65,66009540,86.63,87.03,86.5407
01/16/2026,87.80,46382400,88.13,88.32,87.71
01/15/2026,88.31,37988940,88.635,88.66,88.31
01/14/2026,88.33,39233480,87.91,88.43,87.89
01/13/2026,87.82,30451400,87.88,87.91,87.535
01/12/2026,87.67,36103070,87.50,87.91,87.41
01/09/2026,87.93,57348790,87.30,88.00,87.12
01/08/2026,87.35,28204900,87.33,87.55,87.245
01/07/2026,87.79,39930910,87.84,88.005,87.48
01/06/2026,87.28,39015180,87.15,87.34,86.90
01/05/2026,87.46,30178030,87.18,87.52,87.11
01/02/2026,87.03,40731250,87.40,87.41,87.0201
12/31/2025,87.16,36500040,87.68,87.91,87.13
12/30/2025,87.86,25106780,87.74,88.04,87.6744
12/29/2025,88.07,29399820,87.95,88.0703,87.79
12/26/2025,87.74,26522730,88.10,88.1699,87.60
12/24/2025,88.03,25942010,87.76,88.08,87.65
12/23/2025,87.50,33624060,87.07,87.58,87.03
12/22/2025,87.36,25547130,87.415,87.4574,87.25
12/19/2025,87.55,37858080,87.605,87.76,87.41
12/18/2025,88.22,39048890,88.13,88.38,88.07
12/17/2025,87.80,24668310,87.625,87.9856,87.5801
12/16/2025,87.88,41018680,87.185,87.92,87.17
12/15/2025,87.40,28611790,87.715,87.88,87.39
12/12/2025,87.34,47030120,87.375,87.495,87.19
12/11/2025,88.19,26778690,88.69,88.83,88.16
12/10/2025,88.31,46833510,88.00,88.52,87.855
12/09/2025,87.97,25771790,88.34,88.345,87.84
12/08/2025,87.88,32255200,88.185,88.20,87.56
12/05/2025,88.17,32808070,88.55,88.55,88.045
12/04/2025,88.58,25541460,88.91,88.93,88.48
12/03/2025,89.06,23278580,88.92,89.155,88.74
12/02/2025,88.81,27605680,88.575,88.955,88.46
12/01/2025,88.77,47086650,88.845,88.99,88.71
11/28/2025,90.21,40704290,90.46,90.5299,89.95
11/26/2025,90.64,34098960,90.15,90.64,89.83
11/25/2025,90.24,36503340,90.31,90.59,90.13
11/24/2025,90.01,30865700,89.95,90.0665,89.7801
11/21/2025,89.50,41938630,89.65,89.67,89.195
11/20/2025,89.23,32945000,88.99,89.42,88.985
11/19/2025,88.88,25782380,89.225,89.31,88.85
11/18/2025,89.06,31967440,89.35,89.45,88.80
