Date,Close/Last,Volume,Open,High,Low
04/10/2026,92.98,2568670,92.79,93.28,92.57
04/09/2026,92.78,3845681,91.72,93.57,91.67
04/08/2026,92.12,5049552,91.90,92.22,91.54
04/07/2026,90.49,3184845,90.07,90.805,89.66
04/06/2026,90.36,2537636,89.96,90.62,89.725
04/02/2026,90.23,3288855,88.89,90.325,88.44
04/01/2026,89.02,4412028,88.695,89.36,88.55
03/31/2026,88.70,4928691,88.47,89.425,87.65
03/30/2026,87.33,5474820,87.91,88.52,87.035
03/27/2026,87.00,4435342,87.53,87.99,86.84
03/26/2026,87.72,6108204,87.66,88.4987,87.30
03/25/2026,87.84,5061376,88.34,88.57,87.43
03/24/2026,87.91,3917327,87.97,88.78,87.65
03/23/2026,89.44,6256824,89.89,90.615,89.40
03/20/2026,88.75,6295406,91.64,91.64,88.33
03/19/2026,91.59,4705053,91.58,92.08,91.08
03/18/2026,91.96,2838824,92.97,93.04,91.91
03/17/2026,93.34,2960962,93.55,94.04,93.27
03/16/2026,92.93,3479302,93.105,93.66,92.81
03/13/2026,92.16,4063327,92.91,93.31,92.0531
03/12/2026,92.01,3933948,91.86,92.695,91.6501
03/11/2026,92.65,4687022,93.09,93.27,92.395
03/10/2026,93.62,5106767,93.49,94.455,93.035
03/09/2026,93.76,4971404,92.675,94.075,91.55
03/06/2026,93.55,4606035,93.78,93.815,93.07
03/05/2026,94.58,4637831,94.57,94.84,93.88
03/04/2026,95.54,3896890,95.17,95.63,94.53
03/03/2026,95.42,4832916,94.391,95.75,93.68
03/02/2026,95.93,5477725,95.198,96.196,94.62
02/27/2026,95.69,4707942,95.20,96.23,95.175
02/26/2026,95.52,3761808,95.17,95.675,94.925
02/25/2026,94.87,3297006,95.03,95.32,94.42
02/24/2026,95.13,3788492,94.65,95.245,94.48
02/23/2026,94.89,3646172,94.75,95.64,94.55
02/20/2026,94.88,2840703,94.29,94.89,94.11
02/19/2026,94.17,2646562,94.26,94.81,93.79
02/18/2026,94.37,4163638,95.22,95.36,94.15
02/17/2026,95.49,3614786,94.94,95.5551,94.38
02/13/2026,94.59,3906841,93.59,94.93,93.30
02/12/2026,93.25,7469436,94.465,95.15,93.10
02/11/2026,93.36,4425651,94.07,94.20,93.225
02/10/2026,93.88,4266652,92.76,94.11,92.74
02/09/2026,92.64,3021655,92.16,92.72,91.60
02/06/2026,92.25,3638714,91.53,92.38,91.325
02/05/2026,90.82,3588497,90.76,91.33,90.24
02/04/2026,90.95,3941137,90.24,91.32,89.89
02/03/2026,89.66,4821961,89.745,90.18,89.07
02/02/2026,89.86,5280754,90.90,91.15,89.82
01/30/2026,90.80,4618037,90.46,90.82,89.655
01/29/2026,90.71,7283919,89.98,90.83,89.415
01/28/2026,89.46,4520546,90.48,90.615,89.24
01/27/2026,90.39,3217100,90.305,90.58,90.04
01/26/2026,90.42,3004662,90.79,91.055,90.32
01/23/2026,90.54,2838199,90.22,90.625,89.875
01/22/2026,90.36,3922910,91.37,91.62,90.3093
01/21/2026,91.26,6140307,91.54,91.69,90.53
01/20/2026,90.90,4648896,91.82,92.07,90.84
01/16/2026,92.62,4819629,91.34,92.815,91.2054
01/15/2026,91.50,3845576,91.30,91.89,91.02
01/14/2026,90.87,3535361,90.085,90.89,90.01
01/13/2026,90.09,3085327,89.62,90.16,88.81
01/12/2026,89.59,3342583,89.58,89.955,89.32
01/09/2026,89.47,4126084,89.31,90.02,89.31
01/08/2026,89.29,5165995,88.10,89.63,88.01
01/07/2026,88.50,6668177,89.87,90.01,88.48
01/06/2026,89.37,4889819,88.38,89.575,88.28
01/05/2026,88.72,5501563,88.30,89.065,87.875
01/02/2026,88.52,3524509,88.37,88.85,87.84
12/31/2025,88.49,3301734,89.18,89.20,88.45
12/30/2025,89.22,2813521,89.095,89.27,88.915
12/29/2025,89.04,2604009,89.24,89.33,88.794
12/26/2025,88.86,2065781,88.70,88.92,88.46
12/24/2025,88.76,2730765,88.21,88.91,88.21
12/23/2025,88.18,3955916,88.28,88.28,87.865
12/22/2025,88.24,3594008,87.65,88.365,87.475
12/19/2025,88.59,4162336,88.67,89.1699,88.55
12/18/2025,88.93,3818063,89.84,89.99,88.83
12/17/2025,89.40,3715500,88.99,89.76,88.975
12/16/2025,89.07,3717881,89.65,89.9799,88.925
12/15/2025,89.73,3915126,89.82,89.88,89.095
12/12/2025,89.45,3855912,89.95,90.27,89.23
12/11/2025,89.56,5207398,89.43,89.92,89.26
12/10/2025,89.17,4633433,89.13,89.81,89.01
12/09/2025,88.85,4194036,89.44,89.98,88.82
12/08/2025,89.19,3971844,89.92,89.92,89.15
12/05/2025,89.88,3859884,89.82,90.35,89.72
12/04/2025,89.98,4837544,90.025,90.59,89.865
12/03/2025,90.20,3204263,89.86,90.42,89.8051
12/02/2025,89.97,2737085,90.52,90.64,89.68
12/01/2025,90.29,3120840,90.45,90.81,90.225
11/28/2025,91.34,1627090,90.93,91.60,90.93
11/26/2025,91.04,3297995,90.43,91.57,90.39
11/25/2025,90.64,4230357,90.05,91.035,90.05
11/24/2025,89.81,3331007,89.64,89.94,89.09
11/21/2025,89.57,5770477,88.66,89.895,88.38
11/20/2025,88.14,5317008,89.07,89.57,88.105
11/19/2025,88.51,4029845,89.20,89.30,88.215
11/18/2025,89.21,4281473,88.81,89.465,88.57
11/17/2025,88.85,4072182,89.83,89.8468,88.60
11/14/2025,89.59,3662866,89.63,89.74,89.10
11/13/2025,89.40,3734640,90.03,90.405,89.255
11/12/2025,90.51,3652436,90.75,91.17,90.48
11/11/2025,91.19,3190422,90.51,91.26,90.49
11/10/2025,90.18,3398185,90.02,90.5755,89.645
11/07/2025,90.23,5277948,89.04,90.25,88.94
11/06/2025,88.85,3421589,89.19,89.55,88.815
11/05/2025,89.28,2886259,89.48,89.57,88.735
11/04/2025,89.20,4058678,89.235,89.325,88.76
11/03/2025,89.05,4522882,88.203,89.145,87.86
10/31/2025,89.18,3982699,88.50,89.475,88.17
10/30/2025,88.95,5183182,88.46,89.55,88.20
10/29/2025,88.53,5650116,90.20,90.36,88.23
10/28/2025,90.87,4636016,92.47,92.47,90.8001
10/27/2025,92.69,2921989,92.49,92.725,92.08
10/24/2025,92.43,2619502,92.82,92.93,92.43
10/23/2025,92.16,2686972,92.32,92.57,91.39
10/22/2025,92.22,2490784,92.105,92.37,91.685
10/21/2025,91.83,2829840,92.00,92.445,91.675
10/20/2025,92.09,2036812,91.60,92.105,91.385
10/17/2025,91.17,2945240,90.54,91.275,90.26
10/16/2025,90.58,3719168,91.07,91.425,90.38
10/15/2025,90.90,3026724,89.91,91.16,89.8362
10/14/2025,89.60,3047787,88.57,89.74,88.39
10/13/2025,88.69,2810073,88.21,88.78,88.08
10/10/2025,88.13,3996323,89.52,89.69,88.09
10/09/2025,89.27,3123023,89.93,89.99,89.035
10/08/2025,89.76,3325065,89.82,90.095,89.53
10/07/2025,90.23,4546624,90.63,90.81,89.845
10/06/2025,90.56,4154610,91.48,91.50,90.525
10/03/2025,91.42,2496627,91.20,92.16,91.20
10/02/2025,91.08,4186062,91.36,91.36,90.5147
10/01/2025,91.56,2933491,91.37,91.88,91.245
09/30/2025,91.42,3002844,91.075,91.49,90.785
09/29/2025,91.05,3155513,91.12,91.23,90.65
09/26/2025,91.02,5430815,90.50,91.18,90.30
09/25/2025,90.13,4246453,90.39,90.75,90.06
09/24/2025,90.40,2709452,91.22,91.26,90.385
09/23/2025,92.17,3421380,91.79,92.385,91.67
09/22/2025,91.67,3646167,91.68,91.8651,91.09
09/19/2025,91.65,3076078,92.37,92.49,91.65
09/18/2025,92.25,2966135,92.16,92.645,91.94
09/17/2025,92.05,4570956,92.45,93.58,91.95
09/16/2025,92.17,3260272,92.65,92.80,91.91
09/15/2025,92.66,2754956,93.11,93.24,92.39
09/12/2025,92.81,2165627,93.18,93.335,92.71
09/11/2025,93.24,2671354,91.83,93.42,91.75
09/10/2025,91.57,2242917,91.73,92.26,91.42
09/09/2025,91.72,2533934,91.67,91.75,91.33
09/08/2025,91.93,2880701,91.54,91.945,91.24
09/05/2025,92.47,3446103,92.07,92.92,91.83
09/04/2025,91.44,3689357,91.04,91.50,90.57
09/03/2025,90.76,2505511,90.54,90.98,90.40
09/02/2025,90.71,3424415,91.41,91.51,90.39
08/29/2025,92.24,2137392,91.86,92.265,91.78
08/28/2025,91.74,2525346,92.01,92.045,91.20
08/27/2025,91.98,1885825,91.65,92.23,91.575
08/26/2025,91.41,2739801,91.62,91.91,91.23
08/25/2025,91.65,2968817,92.01,92.34,91.585
08/22/2025,92.18,3318891,91.06,92.615,90.899
08/21/2025,90.43,2630017,90.26,90.76,90.055
08/20/2025,90.70,2931894,90.66,91.43,90.435
08/19/2025,90.44,4168362,89.38,90.48,89.29
08/18/2025,88.91,2562582,89.68,89.82,88.88
08/15/2025,89.67,2399452,89.17,89.9199,89.0851
