Date,ACWI,TLT,LQD,TIP,DBC,VNQ,QAI
2016-04-12,56.23,130.93,118.73,114.09,13.65,83.59,28.86
2016-04-13,56.91,131.39,119.14,114.19,13.72,83.22,28.96
2016-04-14,56.99,130.76,119.06,113.92,13.61,82.76,28.95
2016-04-15,56.9,131.88,119.56,114.33,13.56,83.38,28.95
2016-04-18,57.31,131.31,119.69,114.31,13.62,83.78,29.02
2016-04-19,57.85,130.9,119.91,114.51,13.91,83.82,29.12
2016-04-20,57.8,129.46,119.58,114.03,14.18,82.4,29.07
2016-04-21,57.52,128.69,119.53,113.89,14.12,80.93,29.08
2016-04-22,57.51,128.36,119.66,113.82,14.06,81.77,29.12
2016-04-25,57.3,127.83,119.38,113.69,14.05,82.49,29.02
2016-04-26,57.5,127.25,119.33,113.64,14.23,82.81,29.03
2016-04-27,57.59,128.52,120.09,114.33,14.36,82.76,29.11
2016-04-28,57.06,129.05,120.2,114.93,14.44,82.59,29.0625
2016-04-29,56.81,129.38,120.33,114.88,14.58,81.83,29.06
2016-05-02,57.16,127.82,119.85,114.5,14.38,83.1,29.11
2016-05-03,56.34,129.43,120.06,114.55,14.16,83.23,29.0301
2016-05-04,55.81,130.14,119.86,114.68,14.17,84.42,28.96
2016-05-05,55.82,131.01,120.1,115.05,14.03,84.66,28.93
2016-05-06,55.98,130.45,119.84,114.65,14.12,85.59,28.91
2016-05-09,55.85,130.86,119.72,114.72,13.81,86.53,28.91
2016-05-10,56.65,130.87,119.92,115.07,14.15,86.52,29.03
2016-05-11,56.24,131.61,120.05,115.05,14.48,84.67,28.96
2016-05-12,56.23,131.01,119.8,114.97,14.5,85.16,28.93
2016-05-13,55.6,132.28,120.02,115.25,14.48,84.4,28.91
2016-05-16,56.27,131.14,119.62,115.12,14.64,85.2,28.92
2016-05-17,55.84,131.36,119.58,115.2,14.75,83.62,28.894
2016-05-18,55.77,129.49,118.56,114.2,14.64,82.31,28.81
2016-05-19,55.51,130.05,118.84,114.15,14.6,81.39,28.8
2016-05-20,55.89,130.15,118.92,114.09,14.66,82.04,28.87
2016-05-23,55.76,130.44,118.92,114.15,14.58,82.05,28.83
2016-05-24,56.5,129.86,118.72,114.04,14.58,83.07,28.9
2016-05-25,56.97,129.37,118.93,114.13,14.75,83.07,28.97
2016-05-26,57.08,130.04,119.27,114.46,14.74,83.23,28.99
2016-05-27,57.14,129.85,119.18,114.31,14.8,83.68,28.97
2016-05-31,57.0,130.16,119.39,114.14,14.71,83.67,28.96
2016-06-01,57.08,130.42,119.14,113.93,14.86,83.74,28.98
2016-06-02,57.18,131.36,119.38,114.32,14.89,84.17,29.01
2016-06-03,57.34,133.23,120.34,115.06,14.99,84.51,29.09
2016-06-06,57.69,132.24,120.05,115.19,15.17,83.86,29.0759
2016-06-07,57.92,132.56,120.23,115.5,15.32,84.37,29.11
2016-06-08,58.14,133.27,120.63,115.77,15.58,84.91,29.13
2016-06-09,57.72,134.13,120.8,115.81,15.55,85.1,29.16
2016-06-10,56.71,134.78,120.94,115.81,15.36,84.7,29.0798
2016-06-13,56.11,135.38,120.76,115.66,15.36,84.72,29.08
2016-06-14,55.73,135.28,120.49,115.37,15.26,84.5,28.97
2016-06-15,55.9,135.8,120.94,115.91,15.18,85.3,29.04
2016-06-16,55.94,136.46,121.12,115.68,14.92,85.78,29.11
2016-06-17,56.09,135.61,120.76,115.39,15.27,85.64,29.0
2016-06-20,56.88,134.16,120.61,115.06,15.41,85.76,29.04
2016-06-21,57.15,133.54,120.5,114.71,15.29,85.32,29.04
2016-06-22,56.35,133.76,120.72,115.02,15.2,85.19,29.05
2016-06-23,57.39,132.23,120.6,115.06,15.32,85.62,29.13
2016-06-24,54.3,135.78,121.17,115.78,15.01,84.87,28.89
2016-06-27,53.29,139.17,121.68,116.12,14.98,84.92,28.87
2016-06-28,54.45,139.46,122.35,116.52,15.22,86.71,28.95
2016-06-29,55.48,138.39,122.31,116.45,15.44,87.76,29.04
2016-06-30,56.23,138.9,122.735,116.67,15.35,88.67,29.16
2016-07-01,56.35,140.57,123.05,117.06,15.54,88.7,29.21
2016-07-05,55.65,142.33,123.47,117.25,15.1,89.68,29.19
2016-07-06,55.74,142.56,123.69,117.53,15.16,89.29,29.21
2016-07-07,55.61,142.55,123.71,117.29,14.73,88.37,29.2
2016-07-08,56.46,143.6,124.4,117.55,14.88,89.8,29.26
2016-07-11,56.95,142.34,124.08,116.98,14.82,90.4,29.32
2016-07-12,57.5,140.0,123.38,116.59,15.1,90.39,29.29
2016-07-13,57.48,141.65,123.86,116.84,14.91,90.89,29.307
2016-07-14,57.83,139.59,123.56,116.54,14.97,90.08,29.3
2016-07-15,57.71,138.39,123.09,116.41,14.93,90.11,29.0
2016-07-18,57.89,138.26,123.09,116.33,14.86,90.35,29.21
2016-07-19,57.62,139.04,123.31,116.34,14.77,90.79,29.23
2016-07-20,57.95,138.28,123.27,116.13,14.67,90.8,29.27
2016-07-21,57.78,138.56,123.41,116.18,14.59,90.98,29.24
2016-07-22,57.96,138.8,123.34,116.08,14.56,91.78,29.27
2016-07-25,57.81,138.7,123.27,115.83,14.4,91.61,29.23
2016-07-26,57.91,138.92,123.15,116.03,14.34,91.16,29.25
2016-07-27,57.99,140.65,123.66,116.48,14.2,90.45,29.33
2016-07-28,58.02,140.39,123.54,116.64,14.16,91.29,29.32
2016-07-29,58.35,141.56,123.99,116.9,14.28,92.45,29.39
2016-08-01,58.16,139.77,122.97,115.75,14.03,92.65,29.32
2016-08-02,57.8,138.33,122.28,115.18,14.01,91.17,29.24
2016-08-03,57.86,138.41,122.44,115.51,14.24,90.64,29.18
2016-08-04,58.07,139.45,122.96,115.99,14.3,90.27,29.25
2016-08-05,58.44,138.0,122.46,115.71,14.36,90.33,29.18
2016-08-08,58.53,138.26,122.54,115.79,14.44,90.49,29.2
2016-08-09,58.86,139.62,123.26,116.07,14.4,90.98,29.279
2016-08-10,58.83,140.16,123.61,116.1,14.23,90.88,29.33
2016-08-11,59.22,138.91,123.2,115.79,14.45,89.85,29.3
2016-08-12,59.12,140.08,123.76,116.09,14.56,90.23,29.36
2016-08-15,59.37,138.76,123.38,115.79,14.8,90.14,29.36
2016-08-16,59.12,138.39,123.16,115.63,14.92,89.06,29.29
2016-08-17,59.18,139.22,123.5,115.98,14.98,89.42,29.34
2016-08-18,59.39,139.44,123.8,116.18,15.17,89.09,29.35
2016-08-19,59.17,138.71,123.43,115.99,15.12,88.52,29.29
2016-08-22,59.1,139.88,123.85,116.23,14.98,89.0,29.34
2016-08-23,59.22,140.03,123.99,116.39,15.04,89.05,29.39
2016-08-24,59.0,139.7,123.91,116.21,14.86,88.66,29.378
2016-08-25,58.87,139.17,123.79,116.15,14.92,89.06,29.32
